chainage_m,lon,lat,elev_m
2343.4,76.923292,29.983948,256.643005
2355.4,76.923417,29.983946,256.648987
2367.5,76.923542,29.983945,256.618988
2379.5,76.923667,29.983943,256.583008
2391.7,76.923793,29.983942,256.585999
2403.7,76.923918,29.983941,256.778015
2415.2,76.924037,29.98394,256.674011
2427.3,76.924163,29.983938,256.615997
2439.3,76.924288,29.983937,256.644989
2451.4,76.924413,29.983935,256.725006
2463.5,76.924539,29.983934,256.632996
2475.6,76.924664,29.983932,256.643005
2487.7,76.92479,29.983931,256.471985
2499.6,76.924914,29.98393,256.36499
2511.8,76.92504,29.983928,256.341003
2523.0,76.925156,29.983927,256.502991
2535.1,76.925282,29.983925,256.476013
2547.1,76.925407,29.983923,256.571991
2557.4,76.925514,29.983922,256.580994
2569.3,76.925637,29.98392,256.411987
2581.3,76.925762,29.983919,256.326996
2593.5,76.925888,29.983917,256.358002
2605.5,76.926013,29.983916,256.442993
2616.2,76.926124,29.983914,256.492004
2628.1,76.926248,29.983913,256.440002
2640.2,76.926373,29.983911,256.247986
2651.5,76.92649,29.98391,256.369995
2663.3,76.926613,29.983909,256.350006
2675.2,76.926737,29.983907,256.416992
2687.1,76.92686,29.983905,256.433014
2699.1,76.926985,29.983904,256.343994
2711.1,76.927109,29.983902,256.365997
2723.2,76.927235,29.983901,256.149994
2735.2,76.927359,29.983899,256.059998
2747.3,76.927485,29.983898,256.181
2759.4,76.927611,29.983897,256.153015
2771.4,76.927735,29.983896,256.121002
2783.3,76.927859,29.983895,256.171997
2795.2,76.927982,29.983894,256.072998
2807.3,76.928108,29.983893,256.088989
2819.0,76.92823,29.983892,255.942001
2831.0,76.928354,29.98389,255.988998
2842.9,76.928478,29.983889,255.962997
2855.0,76.928603,29.983887,256.027008
2867.0,76.928728,29.983886,256.001007
2879.1,76.928853,29.983885,256.048004
2891.1,76.928978,29.983883,256.075012
2903.1,76.929103,29.983881,256.255005
2915.3,76.929229,29.983879,256.334015
2927.4,76.929355,29.983878,256.291992
2939.6,76.929481,29.983876,256.256989
2951.6,76.929606,29.983874,256.203003
2963.5,76.92973,29.983873,256.188995
2975.8,76.929857,29.983872,256.243988
2987.9,76.929983,29.98387,256.171997
2999.9,76.930108,29.983869,256.108002
3012.0,76.930233,29.983867,256.095001
3019.0,76.930306,29.983867,256.018005
3024.7,76.930365,29.983867,256.084015
3036.2,76.930484,29.983866,256.084015
3048.1,76.930608,29.983864,255.985001
3060.1,76.930733,29.983862,256.057007
3072.4,76.93086,29.983861,256.056
3084.4,76.930985,29.983861,255.882996
3096.5,76.93111,29.98386,255.742996
3108.6,76.931236,29.983859,255.783997
3120.5,76.93136,29.983858,255.871994
3132.7,76.931486,29.983856,255.929993
3144.3,76.931607,29.983854,255.880005
3156.5,76.931733,29.983853,255.835007
3166.6,76.931838,29.983852,255.824005
3178.8,76.931965,29.98385,255.876007
3191.0,76.932091,29.983848,255.811005
3203.2,76.932218,29.983847,255.977005
3213.7,76.932327,29.983845,255.828003
3225.5,76.93245,29.983843,255.929993
3237.5,76.932574,29.983841,255.979004
3249.6,76.9327,29.983839,255.921005
3261.7,76.932825,29.983837,255.983994
3273.6,76.932949,29.983836,256.006989
3285.8,76.933076,29.983836,256.018005
3297.5,76.933197,29.983835,256.015015
3308.5,76.933311,29.983835,256.104004
3320.1,76.933432,29.983832,256.042999
3331.0,76.933545,29.983829,256.079987
3343.1,76.93367,29.983827,256.394012
3355.1,76.933795,29.983827,256.556
3367.3,76.933922,29.983826,256.407013
3377.4,76.934027,29.983825,256.321991
3389.2,76.934149,29.983823,256.346985
3401.6,76.934278,29.983821,256.312988
3413.9,76.934405,29.983819,256.381012
3425.9,76.93453,29.983817,256.431
3438.0,76.934656,29.983815,256.345001
3450.2,76.934782,29.983811,256.47699
3462.3,76.934908,29.983806,256.53299
3474.1,76.93503,29.983801,256.572998
3485.9,76.935153,29.983796,256.657013
3498.0,76.935278,29.983791,256.638
3509.8,76.9354,29.983789,256.606995
3521.8,76.935525,29.983788,256.596008
3534.1,76.935653,29.983789,256.63501
3546.3,76.935779,29.98379,256.592987
3558.5,76.935906,29.983792,256.496002
3570.6,76.936032,29.983794,256.397003
3582.6,76.936156,29.983794,256.471985
3588.7,76.93622,29.983794,256.373993
3600.9,76.936344,29.983816,256.324005
3611.8,76.936449,29.983851,256.446991
3623.8,76.936567,29.983887,256.54599
3635.1,76.936678,29.983921,256.459991
3645.8,76.936782,29.983953,256.59201
3657.6,76.936898,29.983988,256.526001
3669.6,76.937016,29.984023,256.450012
3681.6,76.937134,29.984058,256.506989
3692.1,76.937237,29.984089,256.569
3702.7,76.937341,29.98412,256.473999
3713.8,76.93745,29.984152,256.549011
3724.4,76.937554,29.984183,256.682007
3736.5,76.937673,29.984218,256.895996
3748.7,76.937792,29.984254,256.747986
3760.6,76.93791,29.984288,256.723999
3772.6,76.938027,29.984323,256.687988
3784.8,76.938147,29.984359,256.584991
3796.9,76.938266,29.984394,256.687012
3808.9,76.938384,29.984429,256.769012
3820.8,76.938501,29.984464,256.789001
3831.1,76.938602,29.984494,256.730011
3842.7,76.938716,29.984528,256.718994
3854.9,76.938836,29.984563,256.703003
3866.8,76.938953,29.984597,256.632996
3877.0,76.939053,29.984626,256.627014
3888.3,76.939165,29.984658,256.684998
3898.6,76.939266,29.984687,256.684998
3910.6,76.939384,29.984722,256.790009
3922.8,76.939504,29.984758,256.864014
3934.6,76.93962,29.984793,256.971008
3944.9,76.93972,29.984824,256.914001
3957.0,76.939839,29.984859,256.825989
3968.8,76.939955,29.984893,256.677002
3979.0,76.940056,29.984922,256.777008
3990.9,76.940173,29.984956,256.828003
4002.8,76.94029,29.984991,256.709015
4013.8,76.940398,29.985023,256.627991
4026.1,76.940519,29.985059,256.569
4038.0,76.940636,29.985093,256.68399
4048.2,76.940736,29.985123,256.596008
4060.2,76.940854,29.985157,256.638
4072.3,76.940973,29.985192,256.808014
4084.4,76.941092,29.985227,256.828003
4094.6,76.941192,29.985257,256.828003
4106.2,76.941306,29.985291,256.760986
4118.3,76.941425,29.985327,256.78299
4130.5,76.941544,29.985363,256.872009
4142.7,76.941664,29.985398,256.865997
4154.7,76.941782,29.985433,256.890991
4166.9,76.941902,29.985468,256.884003
4179.0,76.942021,29.985503,256.80899
4191.1,76.94214,29.985537,256.811005
4202.9,76.942257,29.985571,256.766998
4215.1,76.942377,29.985606,256.802002
4227.2,76.942496,29.98564,256.752991
4239.4,76.942616,29.985674,256.869995
4251.5,76.942735,29.985709,256.977997
4263.8,76.942856,29.985745,257.03299
4275.9,76.942975,29.985779,257.026001
4287.7,76.943091,29.985813,257.130005
4299.5,76.943208,29.985847,257.118011
4311.7,76.943327,29.985883,257.066986
4323.6,76.943444,29.985917,257.061005
4333.8,76.943544,29.985948,257.04599
4345.8,76.943662,29.985983,256.973999
4358.0,76.943782,29.986019,257.152008
4369.9,76.943899,29.986053,257.112
4380.7,76.944005,29.986084,257.037994
4392.7,76.944123,29.986119,256.987
4404.8,76.944242,29.986153,257.045013
4415.7,76.94435,29.986184,257.085999
4427.8,76.944469,29.986219,257.053986
4438.7,76.944576,29.98625,257.196991
4450.7,76.944694,29.986284,257.166992
4462.0,76.944805,29.986317,257.151001
4474.0,76.944923,29.986351,257.144989
4484.5,76.945027,29.986381,257.114014
4495.5,76.945135,29.986413,257.21701
4505.7,76.945235,29.986443,257.181
4517.6,76.945352,29.986478,257.213013
4528.4,76.945458,29.986509,257.147003
4539.0,76.945562,29.986539,257.181
4549.7,76.945668,29.986569,257.35199
4561.8,76.945787,29.986603,257.412994
4573.9,76.945906,29.986638,257.365997
4583.9,76.946005,29.986667,257.294006
4595.8,76.946122,29.986701,257.433014
4607.7,76.946239,29.986736,257.28299
4619.9,76.946359,29.986771,257.243011
4632.0,76.946478,29.986806,257.233002
4642.5,76.946581,29.986835,257.335999
4653.2,76.946687,29.986865,257.404999
4665.1,76.946804,29.986899,257.459015
4675.4,76.946905,29.986929,257.501007
4685.7,76.947006,29.98696,257.578003
4696.6,76.947112,29.986995,257.773987
4708.5,76.947228,29.987032,257.963989
4719.8,76.947339,29.987064,257.729004
4731.7,76.947456,29.987097,257.432007
4742.9,76.947566,29.98713,257.545013
4753.5,76.94767,29.987161,257.574005
4764.0,76.947774,29.987191,257.696014
4775.8,76.947889,29.987226,257.819
4787.6,76.948005,29.98726,257.876007
4799.7,76.948124,29.987296,257.886993
4811.9,76.948244,29.987332,257.721985
4824.1,76.948363,29.987368,257.842987
4836.3,76.948483,29.987404,257.868988
4847.4,76.948592,29.987437,257.867004
4858.3,76.948699,29.987469,257.944
4868.5,76.948799,29.987499,257.979004
4879.3,76.948905,29.987531,257.992004
4891.5,76.949025,29.987566,257.908997
4903.8,76.949145,29.987603,257.985992
4916.0,76.949264,29.98764,257.931
4927.9,76.949381,29.987676,257.980011
4939.9,76.949499,29.987711,258.026001
4952.2,76.949619,29.987747,258.069
4964.4,76.949739,29.987783,258.059998
4975.6,76.949849,29.987816,258.093994
4987.3,76.949964,29.987851,258.118011
4999.4,76.950082,29.987886,258.09201
5011.1,76.950198,29.98792,258.247009
5023.3,76.950317,29.987955,258.169006
