chainage_m,lon,lat,elev_m
142754.1,78.101859,29.647336,209.563995
142766.3,78.10193,29.647245,209.451996
142778.3,78.102,29.647156,209.214005
142790.5,78.102072,29.647066,209.166
142802.7,78.102144,29.646976,209.121002
142814.6,78.102216,29.646889,209.067001
142826.7,78.102289,29.6468,209.022003
142839.0,78.102363,29.646711,208.955002
142850.9,78.102435,29.646624,208.901993
142862.5,78.102503,29.646538,208.863007
142874.7,78.102574,29.646447,208.891006
142886.9,78.102643,29.646355,208.951996
142899.1,78.102711,29.646263,209.123001
142910.4,78.102774,29.646177,209.255005
142922.6,78.102842,29.646085,209.330994
142934.7,78.10291,29.645993,209.395004
142947.0,78.102978,29.6459,209.414993
142958.2,78.10304,29.645815,209.389008
142970.4,78.103108,29.645722,209.432999
142982.0,78.103173,29.645634,209.535995
142994.2,78.103241,29.645542,209.654999
143004.7,78.103301,29.645463,209.744995
143017.0,78.103371,29.645371,209.848999
143029.0,78.10344,29.645281,209.960999
143041.2,78.10351,29.64519,210.197998
143053.4,78.103579,29.645098,210.453003
143065.4,78.103646,29.645007,210.746994
143077.6,78.103713,29.644914,211.097
143089.8,78.103779,29.644821,211.598999
143101.9,78.103845,29.644728,212.244003
143113.5,78.10391,29.64464,212.964996
143125.5,78.10398,29.644551,213.785004
143137.7,78.104053,29.644462,214.852005
143149.9,78.104128,29.644374,216.220001
143161.9,78.104204,29.644288,218.0
143173.4,78.104275,29.644205,219.755005
143185.3,78.104347,29.644119,221.871994
143196.9,78.104418,29.644034,224.470001
143199.3,78.104432,29.644016,224.960007
143211.5,78.104506,29.643928,225.972
143214.2,78.104525,29.64391,225.858002
143216.4,78.104541,29.643896,225.802994
143228.5,78.104628,29.643818,225.373993
143240.6,78.104713,29.643737,224.067001
143252.8,78.104785,29.643647,222.815002
143265.1,78.104856,29.643556,221.794006
143277.3,78.104925,29.643464,220.936005
143289.4,78.104995,29.643373,220.059006
143301.6,78.105064,29.643282,219.024994
143313.8,78.105133,29.64319,217.876999
143325.7,78.105201,29.6431,216.733994
143338.0,78.10527,29.643008,215.733002
143350.1,78.105339,29.642917,214.841995
143362.3,78.10541,29.642826,213.947006
143374.5,78.105479,29.642734,213.162003
143386.8,78.105549,29.642642,212.227005
143398.8,78.105617,29.642551,211.151001
143410.8,78.105684,29.642461,210.151001
143423.0,78.105753,29.642369,209.104996
143435.2,78.105823,29.642277,208.195007
143447.5,78.105893,29.642185,207.518005
143459.7,78.105963,29.642094,207.0
143471.9,78.106033,29.642002,206.572998
143484.0,78.106103,29.641912,206.416
143496.4,78.106173,29.641819,206.507004
143508.6,78.106242,29.641727,206.619003
143520.8,78.106311,29.641635,206.673996
